Identifiant	Date	Heure	Site_indice	Site_nom	Text	Sex	Poids	Check_saltans
L3/P/N35	29-mars	13h	L3	Monniais	17.4	F	0.0249	ok
L3/P/N36	29-mars	13h	L3	Monniais	17.4	M	0.0122	ok
L3/P/N37	29-mars	13h	L3	Monniais	17.4	M	0.0149	ok
L3/P/N38	29-mars	13h	L3	Monniais	17.4	F	0.0168	ok
L3/P/N39	29-mars	13h	L3	Monniais	17.4	M	0.0146	ok
L3/P/N4	22-mars	12h	L3	Monniais	15.7	F	0.011	juv
L3/P/N40	29-mars	13h	L3	Monniais	17.4	M	0.0117	ok
L3/P/N41	29-mars	13h	L3	Monniais	17.4	F	0.017	juv
L3/P/N42	29-mars	13h	L3	Monniais	17.4	M	0.0123	juv
L3/P/N5	22-mars	12h	L3	Monniais	15.7	F	0.0257	juv
L3/P/N6	22-mars	12h	L3	Monniais	15.7	M	0.0138	juv
L3/P/N7	22-mars	12h	L3	Monniais	15.7	M	0.0128	juv
L3/P/N8	22-mars	12h	L3	Monniais	15.7	F	0.0113	juv
L3/P/N9	22-mars	12h	L3	Monniais	15.7	F	0.0138	juv
L3b/P/3/N1	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.029	ok
L3b/P/3/N10	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0307	ok
L3b/P/3/N11	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0305	ok
L3b/P/3/N12	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0337	ok
L3b/P/3/N13	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.03	ok
L3b/P/3/N14	23-juin	13h	L2b	Derriere_Monniais	23.5	F	0.0409	ok
